GeoId,Geography,LEAID,Year,Iteration,DP05.2_33est,DP05.2_33moe,DP05.2_34est,DP05.2_34moe,DP05.2_34pct,DP05.2_34pctmoe,DP05.2_35est,DP05.2_35moe,DP05.2_35pct,DP05.2_35pctmoe,DP05.2_36est,DP05.2_36moe,DP05.2_36pct,DP05.2_36pctmoe,DP05.2_37est,DP05.2_37moe,DP05.2_37pct,DP05.2_37pctmoe,DP05.2_38est,DP05.2_38moe,DP05.2_38pct,DP05.2_38pctmoe,DP05.2_39est,DP05.2_39moe,DP05.2_39pct,DP05.2_39pctmoe,DP05.2_40est,DP05.2_40moe,DP05.2_40pct,DP05.2_40pctmoe,DP05.2_41est,DP05.2_41moe,DP05.2_41pct,DP05.2_41pctmoe,DP05.2_42est,DP05.2_42moe,DP05.2_42pct,DP05.2_42pctmoe,DP05.2_43est,DP05.2_43moe,DP05.2_43pct,DP05.2_43pctmoe,DP05.2_44est,DP05.2_44moe,DP05.2_44pct,DP05.2_44pctmoe,DP05.2_45est,DP05.2_45moe,DP05.2_45pct,DP05.2_45pctmoe,DP05.2_46est,DP05.2_46moe,DP05.2_46pct,DP05.2_46pctmoe,DP05.2_47est,DP05.2_47moe,DP05.2_47pct,DP05.2_47pctmoe,DP05.2_48est,DP05.2_48moe,DP05.2_48pct,DP05.2_48pctmoe,DP05.2_49est,DP05.2_49moe,DP05.2_49pct,DP05.2_49pctmoe,DP05.2_50est,DP05.2_50moe,DP05.2_50pct,DP05.2_50pctmoe,DP05.2_51est,DP05.2_51moe,DP05.2_51pct,DP05.2_51pctmoe,DP05.2_52est,DP05.2_52moe,DP05.2_52pct,DP05.2_52pctmoe,DP05.2_53est,DP05.2_53moe,DP05.2_53pct,DP05.2_53pctmoe,DP05.2_54est,DP05.2_54moe,DP05.2_54pct,DP05.2_54pctmoe,DP05.2_55est,DP05.2_55moe,DP05.2_55pct,DP05.2_55pctmoe,DP05.2_56est,DP05.2_56moe,DP05.2_56pct,DP05.2_56pctmoe,DP05.2_57est,DP05.2_57moe,DP05.2_57pct,DP05.2_57pctmoe,DP05.2_58est,DP05.2_58moe,DP05.2_58pct,DP05.2_58pctmoe,DP05.2_59est,DP05.2_59moe,DP05.2_59pct,DP05.2_59pctmoe,DP05.2_60est,DP05.2_60moe,DP05.2_60pct,DP05.2_60pctmoe,DP05.2_61est,DP05.2_61moe,DP05.2_61pct,DP05.2_61pctmoe,DP05.2_62est,DP05.2_62moe,DP05.2_62pct,DP05.2_62pctmoe,DP05.2_63est,DP05.2_63moe,DP05.2_64est,DP05.2_64moe,DP05.2_64pct,DP05.2_64pctmoe,DP05.2_65est,DP05.2_65moe,DP05.2_65pct,DP05.2_65pctmoe,DP05.2_66est,DP05.2_66moe,DP05.2_66pct,DP05.2_66pctmoe,DP05.2_67est,DP05.2_67moe,DP05.2_67pct,DP05.2_67pctmoe,DP05.2_68est,DP05.2_68moe,DP05.2_68pct,DP05.2_68pctmoe,DP05.2_69est,DP05.2_69moe,DP05.2_69pct,DP05.2_69pctmoe
97000US3618960,"Medina Central School District, NY",3618960,2014-2018,1,10537,280,10337,291,98.1,1.1,200,115,1.9,1.1,10337,291,98.1,1.1,9271,433,88,3.2,552,248,5.2,2.4,15,14,0.1,0.1,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,178,72,1.7,0.7,25,29,0.2,0.3,92,83,0.9,0.8,17,30,0.2,0.3,0,19,0,0.3,28,40,0.3,0.4,0,19,0,0.3,16,18,0.2,0.2,21,34,0.2,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,21,34,0.2,0.3,300,171,2.8,1.6,200,115,1.9,1.1,154,103,1.5,1,30,42,0.3,0.4,0,19,0,0.3,4,7,0,0.1,10537,280,9467,415,89.8,2.9,717,290,6.8,2.8,56,46,0.5,0.4,178,72,1.7,0.7,21,34,0.2,0.3,305,173,2.9,1.6
97000US3618990,"Menands Union Free School District, NY",3618990,2014-2018,1,3871,336,3446,494,89,9.1,425,347,11,9.1,3446,494,89,9.1,1877,311,48.5,8.4,656,320,16.9,8.3,0,12,0,0.8,0,12,0,0.8,0,12,0,0.8,0,12,0,0.8,0,12,0,0.8,818,443,21.1,10.5,575,300,14.9,7.8,20,33,0.5,0.9,0,12,0,0.8,0,12,0,0.8,0,12,0,0.8,0,12,0,0.8,223,334,5.8,8.3,63,84,1.6,2.2,0,12,0,0.8,0,12,0,0.8,0,12,0,0.8,63,84,1.6,2.2,32,28,0.8,0.7,425,347,11,9.1,51,82,1.3,2.1,300,348,7.7,9.1,0,12,0,0.8,0,12,0,0.8,3871,336,2260,352,58.4,9.9,721,298,18.6,7.7,356,346,9.2,9,860,448,22.2,10.6,63,84,1.6,2.2,50,44,1.3,1.1
95000US3619110,"Merrick Union Free School District, NY",3619110,2014-2018,1,16242,566,16111,561,99.2,0.5,131,83,0.8,0.5,16111,561,99.2,0.5,14937,662,92,2.5,476,280,2.9,1.7,32,56,0.2,0.3,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,420,233,2.6,1.4,25,28,0.2,0.2,321,225,2,1.4,14,21,0.1,0.1,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,60,54,0.4,0.3,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,246,149,1.5,0.9,131,83,0.8,0.5,0,19,0,0.2,12,20,0.1,0.1,39,48,0.2,0.3,0,19,0,0.2,16242,566,15031,667,92.5,2.5,506,291,3.1,1.8,44,59,0.3,0.4,496,251,3.1,1.5,0,19,0,0.2,296,164,1.8,1
97000US3619170,"Mexico Central School District, NY",3619170,2014-2018,1,11917,497,11698,539,98.2,1.1,219,135,1.8,1.1,11698,539,98.2,1.1,11515,532,96.6,1.3,49,40,0.4,0.3,3,4,0,0.1,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,100,68,0.8,0.6,36,53,0.3,0.4,4,7,0,0.1,43,43,0.4,0.4,9,15,0.1,0.1,0,19,0,0.3,0,19,0,0.3,8,10,0.1,0.1,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,31,38,0.3,0.3,219,135,1.8,1.1,37,66,0.3,0.6,97,84,0.8,0.7,69,67,0.6,0.6,0,19,0,0.3,11917,497,11734,491,98.5,0.7,102,84,0.9,0.7,116,86,1,0.7,185,103,1.6,0.9,0,19,0,0.3,31,38,0.3,0.3
97000US3619200,"Middle Country Central School District, NY",3619200,2014-2018,1,62415,1773,61066,1749,97.8,1,1349,604,2.2,1,61066,1749,97.8,1,53888,1712,86.3,1.8,2258,605,3.6,1,6,11,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,3193,550,5.1,0.9,463,310,0.7,0.5,542,222,0.9,0.4,523,283,0.8,0.5,68,60,0.1,0.1,65,47,0.1,0.1,34,51,0.1,0.1,1498,424,2.4,0.7,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,1721,578,2.8,0.9,1349,604,2.2,1,236,125,0.4,0.2,22,26,0,0.1,167,120,0.3,0.2,32,30,0.1,0.1,62415,1773,55023,1739,88.2,1.6,3182,868,5.1,1.4,678,561,1.1,0.9,3527,631,5.7,1,0,28,0,0.1,1969,669,3.2,1.1
97000US3619260,"Middleburgh Central School District, NY",3619260,2014-2018,1,5953,250,5909,248,99.3,0.5,44,29,0.7,0.5,5909,248,99.3,0.5,5777,252,97,1.2,66,47,1.1,0.8,2,6,0,0.1,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,50,54,0.8,0.9,0,17,0,0.5,50,54,0.8,0.9,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,0,17,0,0.5,14,15,0.2,0.2,44,29,0.7,0.5,14,11,0.2,0.2,18,20,0.3,0.3,8,10,0.1,0.2,0,17,0,0.5,5953,250,5821,256,97.8,1.2,80,49,1.3,0.8,20,23,0.3,0.4,58,49,1,0.8,0,17,0,0.5,18,16,0.3,0.3
97000US3619320,"Middletown City School District, NY",3619320,2014-2018,1,42686,964,40144,1077,94,1.4,2542,610,6,1.4,40144,1077,94,1.4,22120,1230,51.8,2.9,8922,944,20.9,2.1,145,110,0.3,0.3,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,1472,359,3.4,0.8,673,302,1.6,0.7,310,197,0.7,0.5,260,208,0.6,0.5,0,25,0,0.1,41,42,0.1,0.1,48,55,0.1,0.1,140,121,0.3,0.3,10,18,0,0.1,10,18,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,7475,1176,17.5,2.7,2542,610,6,1.4,1081,311,2.5,0.7,69,58,0.2,0.1,233,161,0.5,0.4,91,60,0.2,0.1,42686,964,24045,1276,56.3,3,10310,952,24.2,2.1,488,223,1.1,0.5,1786,394,4.2,0.9,390,399,0.9,0.9,8369,1173,19.6,2.7
97000US3619350,"Milford Central School District, NY",3619350,2014-2018,1,2889,196,2870,194,99.3,0.6,19,18,0.7,0.6,2870,194,99.3,0.6,2796,204,96.8,1.9,30,33,1,1.2,0,12,0,1.1,0,12,0,1.1,0,12,0,1.1,0,12,0,1.1,0,12,0,1.1,22,19,0.8,0.7,10,16,0.3,0.5,0,12,0,1.1,7,8,0.2,0.3,0,12,0,1.1,1,3,0,0.1,0,12,0,1.1,4,7,0.1,0.2,0,12,0,1.1,0,12,0,1.1,0,12,0,1.1,0,12,0,1.1,0,12,0,1.1,22,33,0.8,1.2,19,18,0.7,0.6,8,13,0.3,0.4,3,4,0.1,0.1,0,12,0,1.1,0,12,0,1.1,2889,196,2814,205,97.4,1.7,38,35,1.3,1.2,3,4,0.1,0.1,23,20,0.8,0.7,0,12,0,1.1,30,35,1,1.2
97000US3619380,"Millbrook Central School District, NY",3619380,2014-2018,1,7740,500,7653,497,98.9,0.8,87,63,1.1,0.8,7653,497,98.9,0.8,7105,518,91.8,3.4,280,168,3.6,2.1,2,4,0,0.1,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,117,67,1.5,0.9,21,34,0.3,0.4,72,59,0.9,0.8,10,16,0.1,0.2,0,17,0,0.4,7,13,0.1,0.2,0,17,0,0.4,7,12,0.1,0.2,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,0,17,0,0.4,149,186,1.9,2.4,87,63,1.1,0.8,9,15,0.1,0.2,0,17,0,0.4,73,61,0.9,0.8,0,17,0,0.4,7740,500,7192,515,92.9,3.1,294,169,3.8,2.1,7,10,0.1,0.1,190,113,2.5,1.4,0,17,0,0.4,149,186,1.9,2.4
97000US3619410,"Miller Place Union Free School District, NY",3619410,2014-2018,1,15071,785,14866,788,98.6,1.1,205,162,1.4,1.1,14866,788,98.6,1.1,14375,833,95.4,2.2,24,31,0.2,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,357,231,2.4,1.5,84,105,0.6,0.7,157,190,1,1.3,29,48,0.2,0.3,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,87,103,0.6,0.7,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,110,155,0.7,1,205,162,1.4,1.1,89,88,0.6,0.6,84,127,0.6,0.8,14,24,0.1,0.2,18,30,0.1,0.2,15071,785,14562,820,96.6,1.9,131,114,0.9,0.7,102,131,0.7,0.9,371,238,2.5,1.6,0,19,0,0.2,110,155,0.7,1
